randomization_R2,randomization_R1
2,1
2,2
2,1
1,2
1,1
1,2
1,1
1,2
2,1
2,2
2,1
2,2
1,1
1,2
2,1
2,2
1,1
1,2
2,1
1,2
1,1
2,2
2,1
2,2
1,1
1,2
2,1
2,2
1,1
2,2
1,1
1,2
2,1
1,2
1,1
2,2
2,1
1,2
2,1
1,2
2,1
1,2
1,1
2,2
2,1
1,2
2,1
1,2
2,1
1,2
1,1
2,2
1,1
2,2
2,1
1,2
1,1
2,2
1,1
2,2
2,1
1,2
2,1
1,2
2,1
2,2
1,1
1,2
2,1
2,2
2,1
1,2
1,1
1,2
1,1
2,2
2,1
2,2
1,1
1,2
1,1
2,2
1,1
2,2
1,1
1,2
2,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
2,1
1,2
1,1
2,2
1,1
2,2
1,1
2,2
2,1
1,2
1,1
2,2
1,1
2,2
1,1
1,2
2,1
2,2
1,1
2,2
2,1
1,2
2,1
1,2
2,1
1,2
1,1
2,2
1,1
2,2
1,1
2,2
2,1
1,2
2,1
1,2
2,1
1,2
2,1
1,2
1,1
2,2
1,1
2,2
1,1
1,2
2,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,2
2,1
2,2
2,1
2,2
1,1
2,2
1,1
1,2
2,1
1,2
1,1
2,2
2,1
1,2
2,1
1,2
2,1
1,2
1,1
2,2
2,1
1,2
1,1
2,2
1,1
1,2
2,1
2,2
1,1
2,2
2,1
1,2
2,1
2,2
1,1
1,2
1,1
2,2
1,1
2,2
2,1
1,2
1,1
1,2
2,1
2,2
1,1
2,2
2,1
1,2
2,1
1,2
1,1
2,2
2,1
1,2
2,1
1,2
1,1
2,2
2,1
1,2
1,1
2,2
2,1
1,2
2,1
1,2
1,1
2,2
2,1
2,2
1,1
1,2
2,1
1,2
2,1
1,2
2,1
1,2
2,1
1,2
2,1
1,2
1,1
2,2
1,1
2,2
1,1
2,2
2,1
1,2
2,1
1,2
2,1
1,2
